STATE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,TWAY_ID,SCH_BUS,RAIL,FATALS,DRUNK_DR
1,1,0,1,97,3,1,AZALEA RD,0,0,1,1
1,2,0,1,103,2,3,SR-36,0,0,1,1
1,1,0,1,69,2,2,US-SR 210,0,0,1,0
1,1,0,1,99,2,3,CR-17,0,0,1,1
1,2,0,3,105,2,5,CR-12,0,0,1,0
1,1,0,1,55,3,1,SR-77,0,0,1,0
1,1,0,1,73,3,2,14TH AVE,0,0,1,0
1,2,0,7,121,3,6,SR-21,0,0,2,1
1,1,1,1,97,3,1,US-SR 42,0,0,1,0
1,2,0,3,55,3,1,US-SR 1,0,0,1,1
1,1,0,3,7,3,1,US-SR 6,0,0,1,0
1,1,0,1,63,3,1,CR-208,0,0,1,0
1,1,0,1,93,3,3,CR-34,0,0,1,0
1,1,0,1,91,3,3,US-SR 8,0,0,1,0
1,1,0,1,23,3,4,US-SR 12,0,0,1,1
1,3,0,1,113,3,5,CR-16TH ST,0,0,1,0
1,2,0,3,93,3,6,SR-17,0,0,1,0
1,1,1,1,115,3,1,US-SR 7,0,0,2,1
1,2,0,4,1,3,6,SR-14,0,0,2,0
1,1,0,1,73,3,7,CR-MORGAN ROAD,0,0,1,0
1,2,0,5,101,2,3,US-SR 6,0,0,1,1
1,1,0,3,93,3,4,CR-45,0,0,1,1
1,1,0,1,101,3,7,BIBB ST,0,0,1,1
1,1,1,2,3,3,1,SR-182,0,0,1,0
1,1,0,1,119,3,1,CR-5,0,0,1,1
1,2,0,15,97,3,2,SR-193,0,0,1,0
1,1,0,2,5,3,2,SR-51,0,0,1,0
1,1,0,2,133,3,3,CR-30,0,0,1,0
1,1,0,2,111,3,4,US-SR 1,0,0,1,0
1,1,0,1,17,3,4,CR-212,0,0,1,0
1,1,1,1,97,3,5,I-65,0,0,1,0
1,2,0,3,117,3,6,SR-119,0,0,1,0
1,1,0,2,87,3,7,CR-2,0,0,1,1
1,1,0,1,51,3,1,SR-14,0,0,1,0
1,1,0,1,127,3,2,CR-SCOTT CEMETERY ROAD,0,0,1,0
1,2,0,3,127,3,2,SR-69,0,0,2,0
1,2,0,3,29,3,5,SR-46,0,0,3,0
1,1,0,1,91,3,6,US-SR 13,0,0,1,1
1,2,0,5,37,3,6,US-SR 21,0,0,2,0
1,2,0,2,55,3,5,US-SR 74,1,0,1,0
1,2,1,4,73,2,3,SR-75,0,0,1,0
1,2,0,4,73,2,5,SR-79,0,0,1,0
1,2,0,3,55,3,2,I-759,0,0,1,0
1,2,0,3,23,3,3,SR-17,0,0,1,1
1,2,0,2,91,3,5,US-SR 8,0,0,1,1
1,1,0,2,97,3,3,I-65,0,0,1,0
1,1,0,2,73,2,7,OLD LEEDS RD,0,0,1,1
1,2,0,5,121,3,3,US-SR 38,0,0,1,0
1,2,0,2,45,3,6,US-SR 12,0,0,1,1
1,1,0,1,97,3,7,I-10 RAMP,0,0,1,0
1,2,0,3,73,3,6,I-459,0,0,1,0
1,1,2,2,33,3,7,CR-JARMON LANE,0,0,1,0
1,1,0,3,101,3,2,I-85,0,0,1,1
1,1,0,2,27,3,2,SR-148,0,0,1,0
1,1,0,1,3,3,1,SR-59,0,0,1,0
1,1,0,1,103,3,7,SR-67,0,0,1,0
1,1,0,1,65,3,1,CR-42,0,0,1,1
1,2,0,2,83,3,3,I-565,0,0,1,1
1,1,0,1,89,3,4,US-SR 1,0,0,1,0
1,1,0,1,111,3,5,CR-51,0,0,1,1
1,2,0,3,97,3,6,BAY BRIDGE ROAD,0,0,2,1
1,2,0,2,89,3,1,CR-WINCHESTER ROAD,0,0,1,0
1,2,0,3,121,1,3,US-SR 38,0,0,1,0
1,1,0,1,111,3,1,CR-65,0,0,1,0
1,2,0,2,131,3,2,SR-21,0,0,1,0
1,1,0,3,65,3,3,SR-69,0,0,1,0
1,1,0,2,115,3,3,US-SR 53,0,0,1,0
1,4,0,3,39,3,5,SR-55,0,0,1,0
1,2,0,6,1,3,7,I-65,0,0,1,0
1,2,0,2,31,3,6,US-SR 12,0,0,1,0
1,2,0,11,3,4,2,SR-182,0,0,1,0
1,2,0,3,73,4,3,VENICE ROAD,0,0,1,0
1,2,0,2,35,4,5,CR-6,0,0,2,0
1,2,0,2,23,4,6,US-SR 12,0,0,1,0
1,4,0,6,9,4,6,SR-75,0,0,2,0
1,1,0,1,41,4,6,US-SR 9,0,0,1,0
1,3,0,4,97,4,7,SR-193,0,0,1,0
1,1,0,1,113,4,7,US-SR 8,0,0,1,0
1,2,0,3,9,4,7,CR-39,0,0,2,0
1,1,0,1,49,4,7,CR-83,0,0,1,1
1,1,0,1,117,4,7,CR-55,0,0,1,0
1,2,0,2,83,4,1,I-65,0,0,1,0
1,1,1,1,97,4,1,I65 SERVICE ROAD S,0,0,1,0
1,2,0,3,25,4,2,CR-48,0,0,1,0
1,1,0,1,127,4,6,I-22,0,0,1,0
1,1,0,2,65,4,6,CR-KINGFISHER RD,0,0,1,0
1,2,0,2,125,4,6,US-SR 7,0,0,1,0
1,1,0,1,89,4,7,US-SR 53,0,0,1,0
1,1,0,2,1,4,2,US-SR 6,0,0,1,0
1,1,0,1,89,4,3,US-SR 53,0,0,1,0
1,1,0,1,55,4,5,US-SR 1,0,0,1,0
1,1,0,1,51,4,2,SR-14,0,0,1,0
1,2,0,4,123,4,6,SR-63,0,0,2,1
1,1,0,3,97,4,6,SR-163,0,0,1,0
1,2,0,3,55,4,2,US-SR 1,0,0,1,0
1,2,0,3,35,4,5,US-SR 12,0,0,1,0
1,1,0,6,105,2,3,SR-14,0,0,1,0
1,1,0,1,73,2,5,I-59,0,0,1,0
1,1,1,1,95,3,7,SR-79,0,0,1,1
1,2,0,6,95,4,7,SR-205,0,0,2,0
1,2,1,2,73,4,5,I-65,0,0,2,0
1,1,0,5,109,4,4,CR-3304,0,0,2,0
1,2,0,4,79,4,3,SR-157,0,0,1,0
1,1,0,1,11,4,7,CR-22,0,0,1,1
1,3,0,3,71,4,2,SR-40,0,0,1,0
1,1,0,1,73,4,7,RAJ BLVD,0,0,1,0
1,1,0,2,21,4,1,US-SR 3,0,0,1,0
1,4,0,5,73,4,3,I-59,0,0,1,0
1,2,1,1,3,4,1,I-10,0,0,1,0
1,2,0,7,59,4,1,US-SR 13,0,0,1,0
1,1,0,2,83,4,1,I-65,0,0,1,0
1,2,0,3,101,4,2,EASTERN BLVD,0,0,1,0
1,1,1,3,117,4,4,SR-25,0,0,1,0
1,1,0,1,49,4,5,SR-68,0,0,1,0
1,1,0,1,97,4,5,CR-OLD PASCAGOULA RD,0,0,1,1
1,1,1,1,115,4,3,I-20,0,0,1,0
1,1,0,3,87,4,6,CR-13,0,0,1,1
1,1,1,0,125,4,6,I-59,0,0,1,0
1,1,0,3,53,4,6,SR-41,0,0,1,0
1,1,0,1,33,4,7,CR-RIVER ROAD,0,0,1,0
1,1,0,1,3,4,7,CR-24,0,0,1,1
1,1,0,1,23,4,1,CR-PLEASANT HILL ROAD,0,0,1,1
1,2,0,2,73,4,3,I-459,0,0,1,0
1,2,0,2,103,4,3,CR-VAUGHN BRIDGE RD,0,0,1,1
1,3,0,4,69,4,3,US-SR 210,0,0,1,0
1,1,0,1,69,4,4,CR-PLEASANT GROVE RD,0,637858G,1,0
1,1,0,2,19,4,4,SR-35,0,0,1,0
1,2,0,3,45,4,5,US-SR 53,0,0,1,2
1,1,0,1,77,4,5,CR-55,0,0,1,0
1,1,1,1,97,4,7,ST FRANCIS ST,0,0,1,1
1,2,0,2,97,4,1,I-165,0,0,1,0
1,2,0,3,73,4,1,I-59,0,0,1,0
1,1,0,1,103,4,2,CHENAULT DR,0,0,1,0
1,1,0,3,3,4,2,CR-64,0,0,1,0
1,1,0,2,77,4,2,SR-157,0,0,1,0
1,2,0,2,83,4,3,SR-99,0,0,1,0
1,2,0,4,57,5,2,US-SR 171,0,0,1,0
1,2,0,2,33,5,5,US-SR 2,0,0,1,0
1,2,0,3,121,5,4,CR-SYLACAUGA FAYETTEVILLE HWY,0,0,2,1
1,1,3,1,101,5,6,ATLANTA HWY,0,0,1,0
1,1,1,1,79,5,7,SR-157,0,0,1,0
1,3,0,3,15,5,1,SR-204,0,0,1,1
1,1,0,1,77,5,2,CR-5,0,0,1,0
1,2,0,4,61,5,3,SR-167,0,0,1,0
1,1,0,1,101,5,4,CARRIAGE BARN LANE,0,0,1,0
1,2,0,2,71,5,4,SR-277,0,0,1,0
1,2,0,3,49,5,6,I-59,0,0,1,1
1,2,0,2,63,5,6,US-SR 13,0,0,1,0
1,2,0,2,89,5,2,US-SR 53,0,0,1,0
1,2,0,2,87,5,7,US-SR 8,0,0,1,1
1,2,0,2,129,5,4,SR-56,0,0,1,0
1,2,0,5,125,4,6,I-59,0,0,2,0
1,1,0,2,73,4,3,SR-7,0,0,1,0
1,1,1,1,73,4,2,US-SR 4,0,0,1,0
1,1,0,2,73,5,1,17TH WAY SW,0,999999u,2,0
1,1,0,4,13,5,5,I-65,0,0,1,0
1,1,0,2,19,5,5,CR-75,0,0,1,1
1,2,0,1,125,5,2,US-SR 7,0,0,1,0
1,2,0,3,95,5,3,US-SR 1,0,0,1,0
1,2,0,4,33,5,3,SR-20,0,0,2,0
1,2,0,2,27,5,4,SR-77,0,0,1,0
1,1,0,1,119,5,6,CR-20,0,0,1,1
1,1,1,3,43,5,5,TIMBERLANE DR SE,0,0,1,0
1,1,0,2,121,5,5,NAFF AVE,0,0,1,0
1,1,0,8,63,5,4,US-SR 7,0,0,4,1
1,1,0,1,69,5,2,ENNIS RD,0,0,1,1
1,2,0,2,125,5,7,US-SR 7,0,0,1,0
1,2,0,2,3,5,2,US-SR 3,0,0,1,1
1,2,0,3,97,5,3,US-SR 42,0,0,1,0
1,1,0,1,81,5,5,US-SR 1,0,0,1,0
1,1,1,1,97,5,6,SR-193,0,0,1,0
1,1,0,1,89,5,6,KING DRAKE RD,0,0,1,0
1,1,0,2,83,5,6,US-SR 2,0,0,2,0
1,1,0,1,15,5,6,SR-21,0,0,1,1
1,1,0,1,29,5,7,I-20,0,0,1,0
1,1,0,2,9,5,7,CR-7,0,0,1,0
1,6,0,13,89,5,3,BAILEY COVE RD,0,0,1,0
1,1,0,1,117,5,6,CR-17,0,0,1,0
1,1,0,1,75,6,7,CR-MULBERRY RD,0,0,1,1
1,2,0,2,51,6,7,CR-GRIER RD,0,0,1,0
1,1,0,1,51,6,1,CR-CLAUD FLEAHOP RD,0,0,1,0
1,1,0,1,71,5,5,SR-79,0,0,1,0
1,2,0,2,73,5,5,24TH ST S,0,0,1,0
1,1,1,1,3,5,3,CR-64,0,0,1,0
1,1,0,1,17,5,5,US-SR 1,0,0,1,0
1,1,0,4,127,5,6,RIDGEWOOD RD W,0,0,3,0
1,2,0,2,125,5,6,SR-69,0,0,1,1
1,1,1,1,97,6,7,I 65 SERVICE ROAD,0,0,1,0
1,1,0,1,25,6,7,US-SR 13,0,0,1,0
1,1,0,2,107,6,7,CR-30,0,0,2,1
1,1,0,1,47,6,1,SR-22,0,0,1,1
1,1,0,1,69,6,2,FORTNER ST,0,0,1,0
1,1,0,1,125,6,2,I-59,0,0,1,0
1,2,0,3,97,6,1,CR-FERNLAND RD,0,0,1,1
1,2,0,2,69,6,4,SR-52 E,0,0,1,1
1,2,0,4,89,6,5,PULASKI PIKE,0,0,1,0
1,2,0,2,71,6,6,SR-40,0,0,1,0
1,2,0,2,97,6,7,I-10,0,0,1,0
1,2,0,3,121,6,7,CR-RENDALIA MOTORWAY,0,0,1,0
1,1,0,2,69,6,7,CR-75,0,0,2,0
1,1,0,1,3,6,4,I-65,0,0,1,0
1,2,0,2,97,6,4,SR-188,0,0,1,0
1,2,0,3,79,6,4,SR-157,0,0,1,0
1,1,0,1,31,6,5,CR-345,0,0,1,1
1,1,0,1,109,6,6,SR-130,0,0,1,0
1,1,0,1,103,6,6,EAST 2ND ST,0,352119T,1,0
1,2,0,2,83,6,6,SR-53,0,0,1,0
1,2,0,2,85,6,1,CR-2,0,0,1,2
1,2,0,6,97,6,1,US-90 BAY BRIDGE ROAD,0,0,2,0
1,1,0,1,19,6,2,US-SR 74,0,0,1,0
1,1,0,1,101,6,7,WARES FERRY ROAD,0,0,1,1
1,1,0,2,3,6,5,CR-2,0,0,1,1
1,1,0,1,71,6,5,US-SR 2,0,0,1,0
1,2,0,3,101,6,1,SELMA HWY,0,0,1,2
1,1,0,7,113,6,1,US-SR 1,0,0,3,0
1,1,0,2,73,5,1,I-59,0,0,1,0
1,3,0,4,121,6,2,SR-21,0,0,2,0
1,4,0,5,87,6,4,I-85,0,0,1,0
1,2,0,4,25,6,6,US-SR 12,0,0,3,1
1,1,0,1,97,6,7,US-SR 16,0,0,1,0
